from,BE-BB-electricity-transmission,BE-biomass-st,BE-ch4-gt,BE-electricity,BE-electricity,BE-electricity,BE-electricity,BE-electricity-liion-battery,BE-electricity-shortage,BE-solar-pv,BE-wind-onshore
to,BE-electricity,BE-electricity,BE-electricity,BE-BB-electricity-transmission,BE-electricity-curtailment,BE-electricity-demand,BE-electricity-liion-battery,BE-electricity,BE-electricity,BE-electricity,BE-electricity
type,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow
timeindex,,,,,,,,,,,
2019-01-01 00:00:00,1235072.2,0.0,0.0,0.0,0.0,1245774.1805456534,0.0,0.0,0.0,0.0,10702.0
2019-01-01 01:00:00,1225533.8,0.0,0.0,0.0,0.0,1233021.0600133254,0.0,0.0,0.0,0.0,7487.299999999999
2019-01-01 02:00:00,1183546.5,0.0,0.0,0.0,0.0,1189111.9288892457,0.0,0.0,0.0,0.0,5565.400000000001
2019-01-01 03:00:00,1133787.6,0.0,0.0,0.0,0.0,1140293.5320112417,0.0,0.0,0.0,0.0,6505.900000000001
2019-01-01 04:00:00,1095040.2,0.0,0.0,0.0,0.0,1103597.4561562974,0.0,0.0,0.0,0.0,8557.3
2019-01-01 05:00:00,1063997.9,0.0,0.0,0.0,0.0,1073620.7663879774,0.0,0.0,0.0,0.0,9622.9
2019-01-01 06:00:00,1014352.2,0.0,0.0,0.0,0.0,1026146.2467277743,0.0,0.0,0.0,0.0,11794.0
2019-01-01 07:00:00,317676.99,676855.97,0.0,0.0,0.0,1010485.9632350105,0.0,0.0,0.0,0.0,15953.0
2019-01-01 08:00:00,1208524.0,0.0,0.0,0.0,215309.88,1016931.0886657422,0.0,0.0,0.0,0.0,23717.0
2019-01-01 09:00:00,2236626.4,0.0,0.0,0.0,1223170.1,1066846.5281696985,0.0,0.0,0.0,24875.2,28515.0
2019-01-01 10:00:00,3796358.9,0.0,0.0,0.0,2769757.1,1124029.8750744436,0.0,0.0,0.0,61704.0,35724.0
2019-01-01 11:00:00,4974352.5,0.0,0.0,0.0,3890200.8,1194569.715955551,0.0,0.0,0.0,64064.0,46354.0
2019-01-01 12:00:00,5636606.3,0.0,0.0,0.0,4496197.8,1238780.5338019456,0.0,0.0,0.0,41440.0,56932.00000000001
2019-01-01 13:00:00,6878223.8,0.0,0.0,0.0,5746830.1,1234337.5111652988,0.0,0.0,0.0,33944.8,68999.0
2019-01-01 14:00:00,7830526.0,0.0,0.0,0.0,6710066.9,1220816.460793972,0.0,0.0,0.0,20840.4,79517.0
2019-01-01 15:00:00,8349453.2,0.0,0.0,0.0,7216571.9,1225643.4483504156,0.0,0.0,0.0,5869.2,86893.0
2019-01-01 16:00:00,8745972.4,0.0,0.0,0.0,7547332.9,1290917.4846248194,0.0,0.0,0.0,0.0,92278.0
2019-01-01 17:00:00,9025296.1,0.0,0.0,0.0,7737820.4,1383370.7519654,0.0,0.0,0.0,0.0,95895.0
