attribute,type,unit,description
region,str,n/a,Country code
name,str,n/a,Name
type,str,n/a,Type
carrier,str,n/a,Energy carrier
tech,str,n/a,Technology
bus,str,n/a,The bus this component is connected to
capacity_turbine,float,MW,Installed turbine capacity
capacity_pump,float,MW,Installed pump capacity
storage_capacity,float,MWh,Installed storage capacity
initial_storage_level,float,MWh,Initial reservoir filling level
efficiency_turbine,float,unitless,Turbine efficiency (discharging)
efficiency_pump,float,unitless,Pump efficiency (charging)
marginal_cost,float,Eur/MWh,Marginal cost of charging/discharging
profile,str,,Name of the inflow profile of inflow into the storage
output_parameters,dict,n/a,Optional parameters passed to oemof-solph's output flow
