attribute,type,unit,description
region,str,n/a,Country code
name,str,n/a,Name
type,str,n/a,Type
carrier,str,n/a,Energy carrier
tech,str,n/a,Technology
from_bus,str,n/a,The input bus this component is connected to
to_bus,str,n/a,The output bus this component is connected to
capacity,float,MW,Installed capacity
capacity_cost,float,Eur/MW,Annualized costs of capacity expansion
efficiency,float,unitless,Efficiency of the conversion biomass to electricity
carrier_cost,float,Eur/MWh,Cost per unit of used fuel
marginal_cost,float,Eur/MWh,Marginal cost
expandable,boolean,n/a,Capacity can be expanded
capacity_potential,float,MW,Maximum invest capacity in unit of output capacity
output_parameters,dict,n/a,Optional parameters passed to oemof-solph's output flow
