attribute,type,unit,description
region,str,n/a,Country code
name,str,n/a,Name
type,str,n/a,Type
carrier,str,n/a,Energy carrier
tech,str,n/a,Technology
bus,str,n/a,The bus this component is connected to
capacity,float,MW,Installed capacity
storage_capacity,float,MWh,Installed storage capacity
efficiency,float,unitless,Efficiency of charging/discharging
marginal_cost,float,Eur/MWh,Marginal cost of charging/discharging
loss_rate,float,unitless,Losses due to self discharging
expandable,boolean,n/a,Capacity can be expanded
capacity_potential,float,MW,Potential of the investment for capacity
capacity_cost,float,Eur/MW,Annualized investment cost per charging/discharging capacity
storage_capacity_cost,float,Eur/MWh,Annualized investment cost per storage capacity
input_parameters,dict,n/a,Optional parameters passed to oemof-solph's input flow
output_parameters,dict,n/a,Optional parameters passed to oemof-solph's output flow 
