,Color
PV,yellow
Wind on,mediumblue
Wind off,cyan
Biomass ST,forestgreen
Biomass GT,limegreen
Hydro reservoir,lightseagreen
Hydro ror,turquoise

Liion Battery,purple
BAT discharge,purple
BAT charge,purple

H2 GT,magenta
CH4 GT,red
Nuclear ST,pink

El. H2 cavern,orchid
BEV,gold

El. demand,#000000

Import,orange
Export,orange
Transmission,orange

Shortage,gray
Curtailment,gray


CH4 bpchp,brown
CH4 extchp,darkred


Heat demand,#000000
Heat excess,gray
Heat shortage,gray
Heat storage,purple

CH4 boiler,red
Heatpump,forestgreen
PtH,orange


CH4 excess,red
